dataset,model,fraction,training_rows,training_macro_f1,training_fold_sd,validation_macro_f1,validation_fold_sd
BEED,KNN,0.2,960,1.0,0.0,0.8370484038059698,0.010675353422831298
BEED,KNN,0.4,1920,1.0,0.0,0.8970336966647638,0.006114128566644516
BEED,KNN,0.6000000000000001,2880,1.0,0.0,0.9349708229266861,0.004473590281525138
BEED,KNN,0.8,3840,1.0,0.0,0.9496415024424023,0.004839971606881031
BEED,KNN,1.0,4800,1.0,0.0,0.9629312486262346,0.005781996448854483
BEED,SVM,0.2,960,0.7739510186315369,0.006710429930373953,0.7385277658395129,0.013345075837433638
BEED,SVM,0.4,1920,0.7906273713850474,0.008123536364206232,0.769777986324875,0.018515166951976504
BEED,SVM,0.6000000000000001,2880,0.8043815378757373,0.007684906639232357,0.7880958917313112,0.019266745454799693
BEED,SVM,0.8,3840,0.8122538830341167,0.006217776112580417,0.8007885825169969,0.016856911037248522
BEED,SVM,1.0,4800,0.8221960121853674,0.004476534606743246,0.8122556374908656,0.01792320637300768
EEG Eye State,KNN,0.2,1792,0.9931348287722424,0.0061469659090449685,0.5319836563063973,0.07922281724357527
EEG Eye State,KNN,0.4,3553,0.9925301381278564,0.002560103318291552,0.6136791888534339,0.09091083033977812
EEG Eye State,KNN,0.6000000000000001,5345,0.9904166516794092,0.00293653909645271,0.6707427288815015,0.07614216629515215
EEG Eye State,KNN,0.8,7106,0.988207026474011,0.0025288835704479593,0.6958074724422084,0.06362172202140381
EEG Eye State,KNN,1.0,8931,0.986473361749441,0.0021649755773830177,0.7288849469285782,0.03221535521375643
EEG Eye State,SVM,0.2,1792,0.9947488891384837,0.006076585701054047,0.5261851742680148,0.082929390696944
EEG Eye State,SVM,0.4,3553,0.9931325784076833,0.0025326120603474255,0.6184631550698443,0.09311631381465225
EEG Eye State,SVM,0.6000000000000001,5345,0.9891839321245854,0.00484292703855882,0.6877751845402826,0.06090643901938258
EEG Eye State,SVM,0.8,7106,0.9845197160181152,0.004621784260762751,0.730181071103066,0.06417767888264235
EEG Eye State,SVM,1.0,8931,0.9792921664325954,0.004038860411401026,0.7722499602151351,0.03241111906616888
